rdtProductcode,rdtSuboutletcode,fillmethod2,searchtextrdt,rdtCode,rdtBrand_search,parasite_search,anti_search,rdtManu_search,confirmRDT_search,r1,r3,r3_lbl,r2,r2_lbl,r4,rdtBrand,r5code,r5code_other,self,r13,r14,r15a,r15b,r15c,r16a,r16b,r16c,r17n,r17p,r12a,r12b,r19,PARENT_KEY,KEY,SET-OF-rdtAudit
01,1-101004-222905-R-01,1,MALARIA PF,1001,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,Pf,HRP2,"Advy Chemical Pvt Ltd.,",1,,,,,,,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,2,,1,14,0,1,1000,1000,0,,,25,1200,0,400,NONE,uuid:d4a77906-b401-4408-87f3-1ab85d6eb785,uuid:d4a77906-b401-4408-87f3-1ab85d6eb785/consent_group-section6-rdtAudit[1],uuid:d4a77906-b401-4408-87f3-1ab85d6eb785/consent_group-section6-rdtAudit
01,1-309251-149765-R-01,1,BIOLINE,1006,Bioline Malaria Ag Pf,Pf,HRP2,Abbott Diagnostics Korea Inc.,1,,,,,,,Bioline Malaria Ag Pf,996,Republic of Korea,1,-9888,0,1,-9888,-9888,0,,,2,-9888,,,The scientist i met could not give much details about the prices of how much they charge for the RDT test,uuid:b18a08b6-919c-43b7-83fb-2b5baca5dcca,uuid:b18a08b6-919c-43b7-83fb-2b5baca5dcca/consent_group-section6-rdtAudit[1],uuid:b18a08b6-919c-43b7-83fb-2b5baca5dcca/consent_group-section6-rdtAudit
01,1-303194-780596-R-01,1,First response,1027,First Response Malaria Ag Pf (HRP2) Card Test,Pf,HRP2,Premier Medical Corporation Ltd,1,,,,,,,First Response Malaria Ag Pf (HRP2) Card Test,2,,1,3,0,1,1500,1500,0,,,20,5000,,,No response,uuid:e5ac6449-b8f1-4218-abec-dffd036655cb,uuid:e5ac6449-b8f1-4218-abec-dffd036655cb/consent_group-section6-rdtAudit[1],uuid:e5ac6449-b8f1-4218-abec-dffd036655cb/consent_group-section6-rdtAudit
01,1-303195-631834-R-01,1,First,1027,First Response Malaria Ag Pf (HRP2) Card Test,Pf,HRP2,Premier Medical Corporation Ltd,1,,,,,,,First Response Malaria Ag Pf (HRP2) Card Test,2,,0,3,0,1,500,500,0,,,2,-9888,,,the owner is not around,uuid:4444b65f-0261-44ce-82dc-e7226fa01577,uuid:4444b65f-0261-44ce-82dc-e7226fa01577/consent_group-section6-rdtAudit[1],uuid:4444b65f-0261-44ce-82dc-e7226fa01577/consent_group-section6-rdtAudit
01,1-303197-485392-R-01,1,FIRST RESPONSE,1027,First Response Malaria Ag Pf (HRP2) Card Test,Pf,HRP2,Premier Medical Corporation Ltd,1,,,,,,,First Response Malaria Ag Pf (HRP2) Card Test,2,,1,10,0,1,1000,1000,0,,,50,-9888,,,"The information provider here as community health worker, she could not answer the purchase price of RDT kit",uuid:75922fbe-b183-49ad-bdc5-a4b6b5e34fc0,uuid:75922fbe-b183-49ad-bdc5-a4b6b5e34fc0/consent_group-section6-rdtAudit[1],uuid:75922fbe-b183-49ad-bdc5-a4b6b5e34fc0/consent_group-section6-rdtAudit
01,1-101002-137679-R-01,1,CARESTART,1010,CareStart Malaria HRP2 (Pf),Pf,HRP2,"Access Bio, Inc.",1,,,,,,,CareStart Malaria HRP2 (Pf),13,,1,4,0,1,1500,1000,0,,,25,4800,,,NONE,uuid:d277e3d5-ec3e-47ac-b667-eacd03d267fc,uuid:d277e3d5-ec3e-47ac-b667-eacd03d267fc/consent_group-section6-rdtAudit[1],uuid:d277e3d5-ec3e-47ac-b667-eacd03d267fc/consent_group-section6-rdtAudit
01,1-110074-953735-R-01,1,MALARIA PF,1001,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,Pf,HRP2,"Advy Chemical Pvt Ltd.,",1,,,,,,,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,2,,0,4,0,1,1500,1000,0,,,25,7000,,,NONE,uuid:c58fdf51-5e76-42f9-9823-62d973ca7054,uuid:c58fdf51-5e76-42f9-9823-62d973ca7054/consent_group-section6-rdtAudit[1],uuid:c58fdf51-5e76-42f9-9823-62d973ca7054/consent_group-section6-rdtAudit
01,1-110074-919303-R-01,1,MALARI,1001,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,Pf,HRP2,"Advy Chemical Pvt Ltd.,",1,,,,,,,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,2,,0,-9777,0,1,-9777,-9777,0,,,-9777,-9777,,,NONE,uuid:ea9a716b-d2ac-43c8-a48f-dd6c0ce647bf,uuid:ea9a716b-d2ac-43c8-a48f-dd6c0ce647bf/consent_group-section6-rdtAudit[1],uuid:ea9a716b-d2ac-43c8-a48f-dd6c0ce647bf/consent_group-section6-rdtAudit
01,1-110072-874304-R-01,1,MALARIA PF,1001,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,Pf,HRP2,"Advy Chemical Pvt Ltd.,",1,,,,,,,AdvDx Malaria Pf Rapid Malaria Ag Detection Test,2,,0,5,0,1,500,500,0,,,20,40000,,,NONE,uuid:1f009db9-6f9a-44d4-8fe8-c823af471a31,uuid:1f009db9-6f9a-44d4-8fe8-c823af471a31/consent_group-section6-rdtAudit[1],uuid:1f009db9-6f9a-44d4-8fe8-c823af471a31/consent_group-section6-rdtAudit
01,1-303201-144548-R-01,1,First,1027,First Response Malaria Ag Pf (HRP2) Card Test,Pf,HRP2,Premier Medical Corporation Ltd,1,,,,,,,First Response Malaria Ag Pf (HRP2) Card Test,2,,0,15,0,0,,,0,,,25,-9888,,,No,uuid:d098f077-ff7c-4da9-83b9-8c072ef962bf,uuid:d098f077-ff7c-4da9-83b9-8c072ef962bf/consent_group-section6-rdtAudit[1],uuid:d098f077-ff7c-4da9-83b9-8c072ef962bf/consent_group-section6-rdtAudit
01,1-303201-427511-R-01,1,First response,1027,First Response Malaria Ag Pf (HRP2) Card Test,Pf,HRP2,Premier Medical Corporation Ltd,1,,,,,,,First Response Malaria Ag Pf (HRP2) Card Test,2,,0,4,0,1,3000,3000,0,,,100,-9888,,,No,uuid:a785de1d-8be5-4f0f-be73-37b3a3dbefa2,uuid:a785de1d-8be5-4f0f-be73-37b3a3dbefa2/consent_group-section6-rdtAudit[1],uuid:a785de1d-8be5-4f0f-be73-37b3a3dbefa2/consent_group-section6-rdtAudit
